2020,Type,Human_Broadleaf,,,,,,,,2020,Type,Nat_Broadleaf,,,,
250,1,0.775049657455088,0.7519739071381731,0.787126659876904,0.8144405276587754,0.06009746251462678,,,,250,1,0.7667151487707556,0.7383302235362118,0.7773964493759257,0.8085714999023983,0.06796267421090356
260,1,0.7745801686909082,0.7519473546174457,0.7832014747256416,0.8144129241265338,0.059831178367755096,,,,260,1,0.7663467358397764,0.7401872180183858,0.7793145095637452,0.810510864929936,0.06710448607111497
270,1,0.7753315038045752,0.7539714401387217,0.7852176365783541,0.8163390467783264,0.059946566735769743,,,,270,1,0.7664005667047461,0.7402119585713803,0.7793233777723885,0.8105814638046118,0.06670651777652349
280,1,0.7758864125639922,0.7519463743334361,0.7871099131941635,0.8144431910091577,0.05948856473118561,,,,280,1,0.7669384156159688,0.7383452666716884,0.7774156755890165,0.8085079590259081,0.06663107327550975
290,1,0.7766829338552504,0.7519405084549466,0.7871429582392407,0.8144320787467904,0.05912530708749459,,,,290,1,0.7670951508064602,0.7402513676022288,0.7792938272073908,0.8105435240742134,0.06548798818490509
300,1,0.7761816320436947,0.7519360355339133,0.7871130840945982,0.8144294377176137,0.058118485670611716,,,,300,1,0.7672046314445112,0.7402487195686894,0.7793131764480028,0.8105231154564005,0.06480116053889019
400,1,0.7806746509267188,0.7558873274190558,0.7910265333138223,0.8144475275128717,0.05627844754736795,,,,400,1,0.7700534475617606,0.7402359320652111,0.7792876951106182,0.8105259289369795,0.06400004769149532
500,1,0.7833344863784728,0.7597624264148568,0.7910138865951113,0.8183480475559611,0.054150773275194436,,,,500,1,0.7720974833100269,0.7441522889131043,0.7831743079800036,0.8144437844809702,0.06252917077810183
600,1,0.7864961085749579,0.7637005427305193,0.7949249947928584,0.8183261048686558,0.05226282109691826,,,,600,1,0.7741168487806481,0.7480403281566573,0.7831983325348311,0.814420848808435,0.06314008117163705
700,1,0.7890712036280589,0.769666451000989,0.8008175312943256,0.824141630434784,0.05097943189427803,,,,700,1,0.7773921050313496,0.7480592977151782,0.7870807439145372,0.8183230717517508,0.060346542448682955
800,1,0.7911719427791413,0.7715154303295291,0.798819490866042,0.8222365329003372,0.04857770710941311,,,,800,1,0.7781238884355945,0.7539460557956987,0.7851785560152751,0.8163439093048639,0.06097518027935211
900,1,0.7923042821963125,0.7715288311626024,0.7988321740020901,0.8222454134856686,0.047424032852967195,,,,900,1,0.7795523005113774,0.755858585656815,0.791020312647762,0.8183808343382935,0.05899192106475207
1000,1,0.7938214159526366,0.77544217288318,0.7988620779918226,0.822239449294835,0.04590205834240254,,,,1000,1,0.7809891267378776,0.7559267478573568,0.7910536238468465,0.8183093003669383,0.05769272954206004
