2018,HumanEdge,,,,,,type,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
170,0.7759918940811076,0.7383577582262802,0.7929921879509313,0.8241852771946762,0.0761986723468995,,,0.7453395887897588,0.7070935878640784,0.761745419184196,0.8007475500853883,0.08594849173588713,
180,0.7772300967190265,0.7461550260899933,0.792994261668373,0.831980336920118,0.07560869037372125,,,0.745540686788913,0.7070953252140127,0.761745491529962,0.8007475138381757,0.08585735776282465,
190,0.7786057041294291,0.7461592766087188,0.7929955873891038,0.8319809448570887,0.07492960493178717,,,0.7467606792004058,0.7070943305708675,0.7617478307380809,0.8085457485374342,0.08554340093364826,
200,0.7796968203368848,0.7461594428556585,0.7929971589736534,0.831980035205015,0.07439698998399147,,,0.7468746756112354,0.7070968685305404,0.7617458294027011,0.8085449982151588,0.08546819067686946,
210,0.7810360219207074,0.7461611533930619,0.792999592109471,0.8319816416884448,0.07379880438481923,,,0.7480602557154429,0.7070960713128848,0.7617497092323933,0.8085465475521108,0.08518591968697602,
220,0.7818772443839764,0.7461619951363395,0.793000475237489,0.8319822860772254,0.07330006564301857,,,0.748410215825684,0.7070948213125412,0.7617503582828905,0.8085456641691019,0.0850187517100964,
230,0.7828529757070045,0.7539728631467699,0.7930019303715194,0.8319840354329503,0.07274454279914107,,,0.7489164563802243,0.7070953431086685,0.7617479898491222,0.8085502397221187,0.08491598498005971,
240,0.7837822216543762,0.7539739997468807,0.7930044579972535,0.8319843420819488,0.07226552686617323,,,0.7495299068758525,0.7070943047942173,0.7617508303704027,0.8085476656381523,0.08470249778840364,
250,0.7845700783717018,0.7539739545709065,0.8008044507068824,0.8319832351228282,0.07177278018026628,,,0.7498051272988324,0.7070975510028091,0.7695536391525555,0.8085509059419095,0.08454090463649608,
260,0.7855699518516944,0.7539765353723391,0.8008063838697195,0.831984261888772,0.0712206255702262,,,0.7505798559356552,0.7149078818027272,0.7695550627565629,0.8085502771911927,0.0843479321692746,
270,0.7861637781859739,0.7539755764791696,0.8008071578839686,0.8319846696539893,0.07078393436231635,,,0.7507520073628505,0.7149083936213951,0.7695550306937966,0.8085523833631635,0.08430027481796742,
280,0.7871763496333817,0.7539798072687612,0.8008094249298003,0.8319860078878408,0.07025923658624804,,,0.7516542287087002,0.7149091141353116,0.7695549294194941,0.8085526093653502,0.08405509361617687,
290,0.7876373726556617,0.7539796540431883,0.8008089987641163,0.8319852577028559,0.06990228909738967,,,0.7516524184961637,0.714909779952805,0.769556219948183,0.8085536249044321,0.08398034963873134,
300,0.7886236766808066,0.7617980478839022,0.8008103570632489,0.8319859884761441,0.06942174017650907,,,0.7526650607549954,0.7149093375809678,0.7695563320042724,0.8085533407756313,0.08383371148714532,
400,0.7945028058363767,0.7696134302359317,0.8086131223556849,0.8397783145855464,0.06572114875141039,,,0.7569868845347278,0.7149137208116956,0.7695641859832113,0.8163553551776579,0.08277485793320435,
500,0.798634744808506,0.7696220714598072,0.8086197412767323,0.8397794376700807,0.06297987178137959,,,0.7608510834326733,0.7227254804262028,0.7773721516080828,0.8163604552122284,0.0818286988528043,
600,0.8018429324979307,0.7774332552287609,0.8086243436986422,0.8397818707190381,0.060988061271699534,,,0.764402580879753,0.7305405366863823,0.7773788799340098,0.816367614225591,0.08093614516044528,
700,0.8043040548807339,0.7774375740299477,0.8164207533834209,0.8397825522805161,0.05949848687097048,,,0.7673580868431412,0.7305416852279502,0.785183934985185,0.8241644971484302,0.08019382342046968,
800,0.8062940898795439,0.7774417632252121,0.8164219039328258,0.8475805430851234,0.05846633649955418,,,0.7699458617204556,0.7383574147112573,0.7851916279534961,0.8241702327187994,0.07954565852071495,
900,0.8079524349220571,0.7774450058973155,0.8164228329554774,0.8475852019551361,0.05772697941938794,,,0.7720925381026086,0.7383589589603663,0.7851924938095932,0.8241738760861889,0.07902283793833059,
1000,0.8093112470972191,0.7852437926262058,0.8164245776994793,0.8475873245179456,0.057312323277290446,,,0.7740037467679838,0.7383572351197584,0.7929983218766699,0.8241758264388346,0.07851333425776902,
,,,,,,,,,,,,,
2021,HumanEdge,,,,,,,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
10,0.703504442487283,0.6329328703635458,0.7266242804632476,0.7889445420222718,0.1081428210173838,,,0.6730690350359464,0.6054969720118121,0.7070628953121618,0.7617131986421918,0.12489910255395592,
20,0.7206352437930351,0.6601918735889614,0.73830350225974,0.7929384769385115,0.09942117867434362,,,0.7009411383277322,0.6445684139812933,0.7305019915969856,0.7773290744620605,0.11040779048868016,
30,0.7269144016260739,0.6798580661604791,0.7422773176911668,0.7889382257301395,0.09285170178018057,,,0.7133635518598588,0.6680138683885715,0.7383163405835569,0.7851282954047053,0.10234851804066329,
40,0.7403646611202486,0.6955226462913943,0.7578868083191248,0.8045087745007597,0.08699049846927008,,,0.7263513394627915,0.6836446458954631,0.7461233598367282,0.7929374613072857,0.09654769753740439,
50,0.7482001475610512,0.7070900507379254,0.7617427674677962,0.8085488369584812,0.08377953951389151,,,0.7318238017510115,0.6914613393519229,0.7539273611606614,0.7929364129753792,0.09349403861632255,
60,0.7512600351621851,0.7070945345259652,0.7617481060203454,0.8085471125509682,0.08212006515594945,,,0.7348284747787099,0.6914666343995888,0.7539328388630095,0.7929388735980756,0.09084103327991523,
70,0.7553576354555395,0.714908805093841,0.7695548345880749,0.8085543251921361,0.08107331560138346,,,0.738970370770257,0.6992816647281259,0.7617464949104286,0.8007424517157317,0.08969527717271847,
80,0.7572112989203323,0.714911386825267,0.7695569934799539,0.8085526674427632,0.07961830472767767,,,0.7400882833257735,0.6992826221338996,0.7617444935551392,0.8007352332597077,0.0871569380763045,
90,0.7590819421897592,0.7227257621813999,0.7695625369542205,0.8163567630896418,0.07902255438041361,,,0.7416561984158342,0.7071021470142418,0.7617481131135821,0.8007395471307293,0.0870721016582016,
100,0.7614648045356198,0.7227264554557252,0.7773651900870432,0.8163594604940344,0.07823701012449705,,,0.7429334235108389,0.7070965822685745,0.7617489762324208,0.8007412533087682,0.08566759517068376,
110,0.7629724673789008,0.7305413469415899,0.7773692789363891,0.8163617678431337,0.0779743163851254,,,0.7443264674193174,0.7071003174964161,0.7617529946361205,0.8007410256695006,0.0854881974114629,
120,0.7637345772956702,0.7305402373228517,0.7773684641561643,0.8163616548884453,0.07739531109235928,,,0.7444096200490024,0.7070974916818747,0.7617479244083687,0.8007373265387797,0.0846383337657973,
130,0.7652674396063525,0.7305435359988967,0.7773714129042587,0.8163628649621797,0.07681410718383881,,,0.7453809523700705,0.707099034740763,0.7617500989947011,0.8007427916879686,0.08443506387768247,
140,0.7665718596453457,0.7305445164675721,0.7773749062765024,0.8163650103155503,0.07633222606950717,,,0.7461164013651651,0.7070986639502357,0.7617511393332863,0.8007409312607502,0.08399049754824367,
150,0.7673764920708913,0.7305454911564255,0.7773752010936591,0.8163654793446214,0.07587282899904386,,,0.7464173991977682,0.7070987574449695,0.7617537271843313,0.8007418527154175,0.083775530731661,
160,0.7687921276325873,0.738356272389579,0.7851780791616589,0.8163657787950082,0.07533025167502322,HumanEdge,,0.7473284648914114,0.7071008413213558,0.7617527578700767,0.8007434779577967,0.08350401685148362,
170,0.7697848258880662,0.7383577125441199,0.7851786811737218,0.8241699708708718,0.07491329270206981,,,0.7478514351082144,0.7071015139180516,0.7617562180629707,0.8007455839751835,0.08333202975110651,
180,0.7708355190068048,0.7383580637555099,0.7851798823247489,0.8241689724827097,0.07437813865993617,,,0.7482741640550791,0.7149136722793423,0.761754603516945,0.8007482705165735,0.0830478915750118,
190,0.771961389891667,0.7383589239862204,0.7851823001631757,0.8241715932102804,0.07397378636351169,,,0.7489686560016038,0.7149129285393467,0.7617554878214956,0.8085377066876923,0.08290442772020859,
200,0.7728938375082333,0.7383600987303299,0.7851834161553867,0.8241715044624197,0.07343950443640627,,,0.7494486628752305,0.7149136915773301,0.7695571873834082,0.8085386817203618,0.08267262220513916,
210,0.7738403036552751,0.7383606148589347,0.7851861216840433,0.8241740593189587,0.07313938824403489,,,0.7499348200899258,0.7149131819861477,0.7695577925066488,0.8085406135509074,0.08255116065707742,
220,0.7748515898238129,0.7383639950202854,0.7851873937297129,0.8241757235365016,0.07262432370807344,,,0.7506677459987962,0.7149141213669804,0.7695581803888255,0.8085412095076137,0.08226853334561862,
230,0.7753855746671718,0.7461592736533804,0.7851876204672608,0.8241750361315472,0.07229375706279559,,,0.7507170808433424,0.7149131496017214,0.769558940725181,0.8085414427365173,0.08218941389287111,
240,0.7763422510477472,0.7461589320655185,0.7929882746690207,0.8241767362364188,0.07185681335552159,,,0.7514363519373083,0.7149130668529103,0.7695592802090984,0.8085416791546851,0.08198588075841791,
250,0.7769850111324595,0.7461609692352902,0.7929888220462215,0.8241776346766302,0.07144851303938815,,,0.7517046511842095,0.7149139858665231,0.7695591596364482,0.8085439914869976,0.08177258076478604,
260,0.7778476610324119,0.7461614791269733,0.7929900415300472,0.8241775098666786,0.07110657327511744,,,0.7522128984161653,0.714913387514364,0.7695598197327165,0.808543906135322,0.08170737819552704,
