distance,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
260,0.9996110796928406,0.19283041560547687,5.000954115530476E-5,0.14259047314842302,0.1855414517217037,0.23240795267324305,0.06930394932652928
270,0.9999106526374817,0.19314600864525064,1.0017574822995812E-4,0.14259020437955172,0.1855415913358687,0.2324080769572011,0.06948587054210797
280,0.9993628859519958,0.19344261545873867,1.0021008347393945E-4,0.14259023174784252,0.1855409231808959,0.23631620029324513,0.06968519565114177
290,0.9999153017997742,0.19371257958727606,1.0604465927599449E-7,0.1425895565013921,0.18554274170577292,0.2363152632318135,0.06984878281341092
300,0.9999796152114868,0.193999806429237,1.0604465927599449E-7,0.14258925832527097,0.1855402688651744,0.23631766056647552,0.07004792694099739
400,0.9999147653579712,0.19623237810894292,5.001562021789141E-5,0.1464943319486611,0.1894489987387281,0.24022382799291442,0.07159599432038896
500,0.9993544816970825,0.19809716495319968,3.01799998851493E-4,0.14649435061681937,0.1894492487633537,0.2402197110013019,0.07292431784937495
600,0.9962813854217529,0.1997077453235077,8.489551837556064E-4,0.14649367949986097,0.1933537476512987,0.2441274865845737,0.07402233781515587
700,0.9997089505195618,0.2013516369557956,3.0073951347731054E-4,0.1464953492479929,0.1933578039161162,0.24803009819947688,0.07506546535760715
800,0.9999053478240967,0.20298259317267425,2.0057061919942498E-4,0.1503993443892652,0.197265052671942,0.24803242502995784,0.07584334434682038
900,0.9994772672653198,0.20439463184310283,1.2938854342792183E-4,0.15039931240864257,0.19726126777227623,0.2519453265484834,0.07647411594598685
1000,0.9987529516220093,0.20564752657576219,5.0026810640702024E-5,0.1503997737124091,0.19726738619413628,0.2519384388011777,0.07700653652323217
